,lat,lon,school_index,max_children,q_children
429,-19.40206,31.77558,429,620,620
430,-19.21676,31.77288,430,620,620
431,-19.32236,31.88266,431,620,620
432,-19.35061,31.80943,432,620,620
433,-19.66824,31.9605,433,620,620
434,-19.60929,32.02644,434,620,620
435,-19.38119,32.04264,435,620,620
436,-19.62662,31.92419,436,620,620
437,-18.74636,32.44775,437,620,620
438,-18.23807,32.20244,438,620,620
439,-18.05337,32.17892,439,620,620
440,-17.7143,32.49304,440,620,620
441,-17.99509,32.12247,441,620,620
442,-18.89687,32.01219,442,620,620
443,-18.76499,32.07449,443,620,620
444,-18.93411,32.09009,444,620,620
445,-18.79048,32.09217,445,620,620
446,-18.6496,32.11409,446,620,620
447,-18.97632,32.1478,447,620,620
448,-18.66107,32.01223,448,620,620
449,-18.90858,31.95139,449,620,620
450,-18.59054,31.77637,450,620,620
451,-17.86607,32.49018,451,620,620
452,-19.23069,32.47776,452,620,620
453,-19.15534,32.31748,453,620,620
454,-19.19578,32.17455,454,620,620
455,-19.29254,32.14945,455,620,620
456,-19.26246,32.30246,456,620,620
457,-19.43686,32.40456,457,620,620
458,-19.36782,32.37015,458,620,620
459,-19.25773,32.39979,459,620,620
460,-19.451,32.29401,460,620,620
461,-19.16656,32.42691,461,620,620
462,-19.20624,32.36791,462,620,620
463,-19.16093,32.24439,463,620,620
464,-19.32226,32.38778,464,620,620
465,-19.19885,32.24627,465,620,620
466,-19.26702,32.1962,466,620,620
467,-19.53936,32.36356,467,620,620
468,-19.37897,32.34282,468,620,620
469,-19.47614,32.22689,469,620,620
470,-19.36627,32.2885,470,620,620
471,-19.25229,32.1612,471,620,620
472,-19.16006,32.19706,472,620,620
473,-17.57156,30.1114,473,620,620
474,-19.29144,32.25627,474,620,620
475,-18.79834,32.56181,475,620,620
476,-18.71174,32.67378,476,620,620
477,-18.61874,32.84954,477,620,620
478,-18.62996,32.52573,478,620,620
479,-18.63871,32.6351,479,620,620
480,-18.67297,32.43743,480,620,620
481,-18.55005,32.34312,481,620,620
482,-18.95897,32.38491,482,620,620
483,-18.58296,32.38061,483,620,620
484,-18.65823,32.30759,484,620,620
485,-18.70635,32.5766,485,620,620
486,-18.74122,32.50653,486,620,620
487,-18.82126,32.42031,487,620,620
488,-18.47994,32.83766,488,620,440
489,-18.55496,32.77785,489,620,565
490,-18.95239,32.31654,490,620,620
491,-18.57007,32.78799,491,620,324
492,-18.53497,32.81897,492,620,620
493,-19.03268,32.76943,493,620,620
494,-19.1448,32.67962,494,620,620
495,-19.13273,32.63921,495,620,620
496,-19.27108,32.55638,496,620,620
497,-19.13351,32.58984,497,620,620
498,-19.21527,32.61799,498,620,620
499,-19.53229,32.52953,499,620,620
500,-19.77831,32.42051,500,620,620
501,-19.44841,32.74139,501,620,620
502,-19.74663,32.59093,502,620,620
503,-19.56622,32.60542,503,620,620
504,-19.3268,32.61309,504,620,620
505,-19.15909,32.51534,505,620,620
506,-19.1501,32.59911,506,620,620
507,-19.6676,32.86055,507,620,620
508,-19.30802,32.49013,508,620,620
509,-19.2458,32.59857,509,620,620
510,-19.5232,32.59119,510,620,620
511,-19.30418,32.54345,511,620,620
512,-19.28481,32.63261,512,620,620
513,-19.58596,32.55337,513,620,620
514,-19.54276,32.64132,514,620,620
515,-19.64036,32.49236,515,620,620
516,-19.37244,32.54089,516,620,620
517,-19.77889,32.42386,517,620,620
518,-19.83468,32.42947,518,620,620
