,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
1677,6339,MASENDA,Mashonaland East,Primary,Mudzi,P3,-17.123441914119812,32.238954575083596
3150,10411,CHIPINDA,Masvingo,Primary,Zaka,P3,-20.084401914119812,31.35660457508359
992,3057,REGINA COELI,Manicaland,Primary,Nyanga,P3,-17.872211914119813,32.869704575083595
2363,8269,MADZIMA,Mashonaland West,Primary,Zvimba,P3,-17.790991914119815,30.27908457508359
3922,12307,NKWIZHU,Matabeleland North,Primary,Tsholotsho,P3,-19.548201914119815,27.72291457508359
808,2845,RENZVA PRIMARY,Manicaland,Primary,Nyanga,P3,-17.474411914119813,32.70925457508359
3686,11081,MURAWI ,Masvingo,Primary,Mwenezi,P3,-20.824181914119812,30.50336457508359
109,1127,YAMURANAYI,Harare,Primary,Glenview Mufakose,P2,-17.872691914119812,30.91438457508359
4518,14135,GUNGWE,Matabeleland South,Primary,Gwanda,P3,-21.452491914119815,28.88563457508359
3905,12289,BHUBHU,Matabeleland North,Primary,Nkayi,P3,-19.079881914119813,28.97481457508359
2787,9003,MVOU,Mashonaland West,Primary,Zvimba,P3,-17.233471914119814,30.440544575083592
1530,5205,MAZAMBARA   PRIMARY ,Mashonaland Central,Primary,Mbire,P3,-16.110061914119814,30.401144575083592
1280,4334,GWINGWIZHA,Mashonaland Central,Primary,Mazowe,P3,-16.899321914119813,31.07123457508359
1565,6038,MACHEKE GOVT.,Mashonaland East,Primary,Murehwa,P1,-18.150611914119814,31.83240457508359
371,2355,WENDUMBA,Manicaland,Primary,Mutare,P3,-19.155971914119814,32.36906457508359
2725,8938,KATAWA ,Mashonaland West,Primary,Chegutu,P3,-18.342681914119815,30.36933457508359
2911,10082,MATARA PRIMARY,Masvingo,Primary,Zaka,P3,-20.565811914119813,31.63128457508359
3101,10360,MUSHUNGWA,Masvingo,Primary,Zaka,P3,-20.472081914119812,31.43628457508359
4209,12618,MAMBANJE PRIMARY,Matabeleland North,Primary,Hwange,P3,-18.520911914119814,26.76931457508359
3736,12030,ST PATRICKS PRY,Bulawayo,Primary,Reigate,P2,-20.149041914119813,28.56024457508359
4393,12883,LWANZI,Matabeleland North,Primary,Binga,P3,-18.210981914119813,27.04392457508359
4556,14173,LIMPOPO,Matabeleland South,Primary,BeitBridge,P3,-21.951831914119815,29.302124575083592
3069,10328,MAFURATIDZE,Masvingo,Primary,Zaka,P3,-20.355151914119812,31.17139457508359
5392,16716,INSUKAMINI,Midlands,Primary,Gokwe South,P3,-18.148331914119815,28.97257457508359
2538,8485,KAHONDE,Mashonaland West,Primary,Hurungwe,P3,-16.801911914119813,29.28928457508359
4038,12430,SIR HUMPHREY GIBBS,Matabeleland North,Primary,Hwange,P3,-18.368171914119813,26.41739457508359
3488,10843,GWAIVHI,Masvingo,Primary,Chiredzi,P3,-22.308571914119813,31.26258457508359
3515,10870,MUKONDE PRIMARY,Masvingo,Primary,Masvingo,P3,-20.265671914119814,30.72772457508359
2551,8498,SHINGIRIRAI,Mashonaland West,Primary,Sanyati,P3,-18.145951914119813,29.36052457508359
2938,10197,MUDZAMIRI,Masvingo,Primary,Gutu,P3,-19.623731914119812,31.48648457508359
2797,9015,BAGUTA,Mashonaland West,Primary,Makonde,P3,-17.299261914119814,30.199364575083592
2892,10011,CHIKATO GVT PRIMARY,Masvingo,Primary,Masvingo,P2,-20.084731914119814,30.79858457508359
1789,6468,RAMBANAPASI,Mashonaland East,Primary,Hwedza,P3,-18.747391914119813,31.52488457508359
5298,16620,MANGWANDE,Midlands,Primary,Gweru,P3,-19.376291914119815,29.40821457508359
375,2359,MUNYORO,Manicaland,Primary,Mutare,P3,-19.280761914119815,32.33739457508359
1710,6384,CHITSUNGO,Mashonaland East,Primary,UMP,P3,-17.016261914119813,32.05826457508359
4981,16118,ST.BARNABAS GOMO,Midlands,Primary,Gweru,P3,-19.245281914119815,29.93771457508359
3421,10761,GEZANI,Masvingo,Primary,Chiredzi,P3,-22.076351914119815,31.15159457508359
577,2610,CHIDUKU,Manicaland,Primary,Makoni,P3,-18.828171914119814,31.93205457508359
4905,14662,ENSANGO,Matabeleland South,Primary,Insiza,P3,-19.776471914119814,29.13005457508359
1181,4221,NYACHURU  ,Mashonaland Central,Primary,Mazowe,P3,-17.232011914119813,30.980244575083592
243,2045,NYAZURA,Manicaland,Primary,Makoni,P3,-18.770861914119813,32.20910457508359
8,1009,TINOKWIRIRA SPEC.,Harare,Primary,Mabvuku Tafara,P2,-17.836311914119815,31.18159457508359
31,1035,KUNDAYI                  ,Harare,Primary,High Glen,P2,-17.911001914119815,30.94670457508359
3395,10734,CHIKARUDZO PRIMARY,Masvingo,Primary,Masvingo,P3,-20.355421914119812,30.93493457508359
2963,10222,CHIROGWE PRIMARY,Masvingo,Primary,Chivi,P3,-20.539371914119812,30.555784575083592
899,2954,NYAHUKWE,Manicaland,Primary,Makoni,P3,-18.466241914119813,32.30117457508359
1920,6604,MAGUDU,Mashonaland East,Primary,UMP,P3,-16.934711914119813,32.14413457508359
1240,4288,MAJOME  ,Mashonaland Central,Primary,Mazowe,P3,-17.007301914119815,31.02068457508359
2049,6752,NYARUSHIPE,Mashonaland East,Primary,Mutoko,P3,-17.692331914119812,32.042404575083594
1182,4222,NYAMAZIZI,Mashonaland Central,Primary,Mt. Darwin,P3,-16.681551914119815,31.67573457508359
2318,8214,HUNGWE,Mashonaland West,Primary,Chegutu,P3,-18.473881914119815,30.53887457508359
614,2648,ZONA,Manicaland,Primary,Chipinge,P3,-20.426921914119813,32.721534575083595
4776,14480,LUHWADE,Matabeleland South,Primary,BeitBridge,P3,-21.987641914119813,29.757094575083592
1607,6208,ST FRANCIS UDEBWE,Mashonaland East,Primary,Goromonzi,P3,-17.516331914119814,31.54714457508359
3076,10335,CHIRARA,Masvingo,Primary,Zaka,P3,-20.241611914119815,31.237934575083592
3047,10306,MANJOKONJO,Masvingo,Primary,Gutu,P3,-19.815341914119813,31.26005457508359
1945,6631,MAHUSVU,Mashonaland East,Primary,Chikomba,P3,-18.985981914119815,31.17116457508359
3214,10550,CHINGAMI,Masvingo,Primary,Mwenezi,P3,-20.946541914119813,30.61120457508359
1863,6544,ST CYPRIANS,Mashonaland East,Primary,Marondera,P3,-18.243021914119815,31.54084457508359
3425,10765,MUTAPURWA,Masvingo,Primary,Chiredzi,P3,-20.880291914119812,32.13424457508359
2220,7096,CHISARASARA,Mashonaland East,Primary,Seke,P3,-18.593851914119814,30.77860457508359
4890,14640,NEWLINE,Matabeleland South,Primary,Mangwe,P3,-21.246551914119813,27.99352457508359
4281,12721,DANDANDA PRY,Matabeleland North,Primary,Lupane,P3,-18.438201914119812,27.85765457508359
2069,6772,TSUNGA PRIMARY,Mashonaland East,Primary,Seke,P3,-18.403201914119812,31.02638457508359
2889,10004,MASHOKO CENTRAL,Masvingo,Primary,Bikita,P3,-20.492821914119812,31.73490457508359
4113,12506,MULINDI PRIMARY,Matabeleland North,Primary,Binga,P3,-18.156211914119815,27.46032457508359
